Team_Name,Year,Wins,Losses,Overtime_Losses,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Games_played,GF_per_Game,GA_per_Game,GD_per_Game,Team_Initials,Era
Dallas Stars,1970,42,35,5,51.2,211,222,-11,82.0,2.57,2.71,-0.13,DS,1990s
Detroit Red Wings,1970,48,28,6,58.5,248,203,45,82.0,3.02,2.48,0.55,DRW,1990s
Edmonton Oilers,1970,32,40,10,39.0,212,239,-27,82.0,2.59,2.91,-0.33,EO,1990s
Florida Panthers,1970,38,26,18,46.3,203,227,-24,82.0,2.48,2.77,-0.29,FP,1990s
Los Angeles Kings,1970,40,27,15,48.8,194,179,15,82.0,2.37,2.18,0.18,LAK,1990s
Minnesota Wild,1970,35,36,11,42.7,177,226,-49,82.0,2.16,2.76,-0.6,MW,1990s
Montreal Canadiens,1970,31,35,16,37.8,212,226,-14,82.0,2.59,2.76,-0.17,MC,1990s
Nashville Predators,1970,48,26,8,58.5,237,210,27,82.0,2.89,2.56,0.33,NP,1990s
New Jersey Devils,1970,48,28,6,58.5,228,209,19,82.0,2.78,2.55,0.23,NJD,1990s
New York Islanders,1970,34,37,11,41.5,203,255,-52,82.0,2.48,3.11,-0.63,NYI,1990s
New York Rangers,1970,51,24,7,62.2,226,187,39,82.0,2.76,2.28,0.48,NYR,1990s
Ottawa Senators,1970,41,31,10,50.0,249,240,9,82.0,3.04,2.93,0.11,OS,1990s
Philadelphia Flyers,1970,47,26,9,57.3,264,232,32,82.0,3.22,2.83,0.39,PF,1990s
Phoenix Coyotes,1970,42,27,13,51.2,216,204,12,82.0,2.63,2.49,0.15,PC,1990s
Pittsburgh Penguins,1970,51,25,6,62.2,282,221,61,82.0,3.44,2.7,0.74,PP,1990s
San Jose Sharks,1970,43,29,10,52.4,228,210,18,82.0,2.78,2.56,0.22,SJS,1990s
St. Louis Blues,1970,49,22,11,59.8,210,165,45,82.0,2.56,2.01,0.55,SLB,1990s
Tampa Bay Lightning,1970,38,36,8,46.3,235,281,-46,82.0,2.87,3.43,-0.56,TBL,1990s
Toronto Maple Leafs,1970,35,37,10,42.7,231,264,-33,82.0,2.82,3.22,-0.4,TML,1990s
Vancouver Canucks,1970,51,22,9,62.2,249,198,51,82.0,3.04,2.41,0.62,VC,1990s
Washington Capitals,1970,42,32,8,51.2,222,230,-8,82.0,2.71,2.8,-0.1,WC,1990s
Winnipeg Jets,1970,37,35,10,45.1,225,246,-21,82.0,2.74,3.0,-0.26,WJ,1990s
